Broker Symbol,Symbol,Tick Decimals,Tick Value,Target Spread,Margin Req
AUD/CAD,AUDCAD,5,1,5,0
AUD/CHF,AUDCHF,5,1,5,0
AUD/JPY,AUDJPY,3,1,5,0
AUD/NZD,AUDNZD,5,1,5,0
AUD/USD,AUDUSD,5,1,5,0
AUS200,AUS200,2,1,2,80
Bund,DE10YB,3,1,3,290
CAD/CHF,CADCHF,5,1,5,0
CAD/JPY,CADJPY,3,1,5,0
CHF/JPY,CHFJPY,3,1,5,0
CHN50,CHN50,2,1,15,0
Copper,COPPER,4,1,2,30
CORNF,CORN,,,,
ETH/USD,ETHUSD,,,,
ESP35,ESP35,2,1,8,170
EUR/AUD,EURAUD,5,1,5,0
EUR/CAD,EURCAD,5,1,5,0
EUR/CHF,EURCHF,5,1,5,0
EUR/GBP,EURGBP,5,1,5,0
EUR/JPY,EURJPY,3,1,5,0
EUR/NOK,EURNOK,5,1,5,0
EUR/NZD,EURNZD,5,1,5,0
EUR/SEK,EURSEK,5,1,5,0
EUR/TRY,EURTRY,5,1,5,0
EUR/USD,EURUSD,5,1,5,0
EUSTX50,EUSTX50,2,1,1,60
FRA40,FRA40,2,1,2,90
GBP/AUD,GBPAUD,5,1,5,0
GBP/CAD,GBPCAD,5,1,5,0
GBP/CHF,GBPCHF,5,1,5,0
GBP/JPY,GBPJPY,5,1,5,0
GBP/NZD,GBPNZD,5,1,5,0
GBP/USD,GBPUSD,5,1,5,0
GER30,DE30EUR,2,1,0.9,210
HKG33,HKG33,2,1,10,520
JPN225,JPN225,2,1,5,30
LTC/USD,LTCUSD,,,,
NAS100,NAS100,2,1,1,30
NGAS,NATGAS,4,1,10,30
NZD/CAD,NZDCAD,5,1,5,0
NZD/CHF,NZDCHF,5,1,5,0
NZD/JPY,NZDJPY,3,1,5,0
NZD/USD,NZDUSD,5,1,5,0
SPX500,SPX500,2,1,5,100
SOYF,SOY,2,1,7.5,0
TRY/JPY,TRYJPY,3,1,5,0
UK100,UK100,2,1,5,160
UKOil,BCOUSD,3,1,5,70
USOil,WTIUSD,3,1,5,70
US30,US30USD,2,1,2,80
USDOLLAR,DXYUSD,0,1,5,0
US2000,US2000,,,,
USD/CAD,USDCAD,5,1,5,0
USD/CHF,USDCHF,5,1,5,0
USD/CNH,USDCNH,5,1,5,0
USD/HKD,USDHKD,5,1,5,0
USD/JPY,USDJPY,4,1,5,0
USD/MXN,USDMXN,5,1,5,0
USD/NOK,USDNOK,5,1,5,0
USD/SEK,USDSEK,5,1,5,0
USD/TRY,USDTRY,5,1,5,0
USD/ZAR,USDZAR,5,1,5,0
WHEATF,WHEAT,,,,
XAG/USD,XAGUSD,3,5,4.5,110
XAU/USD,XAUUSD,2,0.1,40,70
XRP/USD,XRPUSD,,,,
ZAR/JPY,ZARJPY,3,1,5,0
