Time (UTC),Open,High,Low,Close,Volume
2018.01.08 00:00:00,0.78597,0.78617,0.78596,0.78617,81.13
2018.01.08 00:01:00,0.78617,0.78618,0.78612,0.78616,58.92
2018.01.08 00:02:00,0.78615,0.78617,0.7861,0.78617,37.46
2018.01.08 00:03:00,0.78618,0.78623,0.78617,0.78617,36.63
2018.01.08 00:04:00,0.78617,0.78626,0.78617,0.78617,66.24
2018.01.08 00:05:00,0.78616,0.78627,0.78616,0.78624,54.78
2018.01.08 00:06:00,0.78624,0.78624,0.78615,0.78616,23.25
2018.01.08 00:07:00,0.78616,0.78617,0.78616,0.78616,26.77
2018.01.08 00:08:00,0.78616,0.78616,0.78616,0.78616,10.81
2018.01.08 00:09:00,0.78617,0.78617,0.78616,0.78616,6.29
2018.01.08 00:10:00,0.78619,0.78623,0.78616,0.78616,37.99
2018.01.08 00:11:00,0.78616,0.78623,0.78616,0.78623,12.78
2018.01.08 00:12:00,0.78622,0.78622,0.78605,0.78605,89.35
2018.01.08 00:13:00,0.78605,0.78605,0.7859,0.78591,49.96
2018.01.08 00:14:00,0.78591,0.78596,0.78591,0.78593,72.99
2018.01.08 00:15:00,0.78594,0.786,0.78593,0.78593,43.14
2018.01.08 00:16:00,0.78594,0.78594,0.78592,0.78592,19.06
2018.01.08 00:17:00,0.78592,0.78604,0.78592,0.78604,51.76
2018.01.08 00:18:00,0.78604,0.78611,0.78602,0.78603,49.1
2018.01.08 00:19:00,0.78604,0.78605,0.78602,0.78602,10.37
2018.01.08 00:20:00,0.78602,0.78602,0.78566,0.78568,76.59
2018.01.08 00:21:00,0.78567,0.78586,0.78567,0.78586,47.45
2018.01.08 00:22:00,0.78586,0.78594,0.78584,0.78594,65.24
2018.01.08 00:23:00,0.78595,0.78595,0.78579,0.78582,38.84
2018.01.08 00:24:00,0.78582,0.78585,0.78582,0.78582,13.76
2018.01.08 00:25:00,0.78582,0.78588,0.78582,0.78583,82.23
2018.01.08 00:26:00,0.78583,0.78595,0.78583,0.78594,25.43
2018.01.08 00:27:00,0.78595,0.78597,0.78594,0.78594,17.13
2018.01.08 00:28:00,0.78589,0.78596,0.78586,0.78596,27.6
2018.01.08 00:29:00,0.78595,0.78595,0.78593,0.78595,16.44
2018.01.08 00:30:00,0.78595,0.78595,0.78586,0.78587,14.87
2018.01.08 00:31:00,0.78587,0.78588,0.78586,0.78587,23.62
2018.01.08 00:32:00,0.78588,0.78596,0.78588,0.78596,17.51
2018.01.08 00:33:00,0.78596,0.78596,0.78595,0.78596,14.46
2018.01.08 00:34:00,0.78597,0.78599,0.78596,0.78599,31.36
2018.01.08 00:35:00,0.78602,0.78607,0.78602,0.78606,61.75
2018.01.08 00:36:00,0.78602,0.78607,0.78602,0.78607,28.88
2018.01.08 00:37:00,0.78606,0.78606,0.78602,0.78603,12.25
2018.01.08 00:38:00,0.786,0.78606,0.786,0.78605,18.07
2018.01.08 00:39:00,0.78605,0.78606,0.78603,0.78603,4.01
2018.01.08 00:40:00,0.78603,0.78604,0.78602,0.78602,27.91
2018.01.08 00:41:00,0.78602,0.78603,0.78594,0.78594,48.45
2018.01.08 00:42:00,0.78594,0.78594,0.78594,0.78594,1.37
2018.01.08 00:43:00,0.78594,0.78595,0.78594,0.78595,9.56
2018.01.08 00:44:00,0.78594,0.78595,0.78594,0.78595,12.07
2018.01.08 00:45:00,0.78594,0.78602,0.7859,0.78591,44.58
2018.01.08 00:46:00,0.78594,0.78605,0.78594,0.78605,35.68
2018.01.08 00:47:00,0.78604,0.78616,0.78604,0.78607,37.39
2018.01.08 00:48:00,0.78608,0.78614,0.78608,0.78614,27.48
2018.01.08 00:49:00,0.78616,0.78636,0.78615,0.78636,23.48
2018.01.08 00:50:00,0.78637,0.78641,0.78635,0.78635,78.81
2018.01.08 00:51:00,0.78635,0.78635,0.78615,0.78616,43.15
2018.01.08 00:52:00,0.78615,0.78615,0.78614,0.78614,13.2
2018.01.08 00:53:00,0.78614,0.78617,0.78609,0.78617,55.77
2018.01.08 00:54:00,0.78617,0.78637,0.78617,0.78631,109.75
2018.01.08 00:55:00,0.78632,0.78642,0.78632,0.78638,70.0
2018.01.08 00:56:00,0.78639,0.78639,0.78638,0.78639,12.45
2018.01.08 00:57:00,0.78638,0.78639,0.78631,0.78639,80.9
2018.01.08 00:58:00,0.78638,0.78644,0.78638,0.7864,48.25
2018.01.08 00:59:00,0.7864,0.7864,0.78639,0.7864,12.1
2018.01.08 01:00:00,0.78641,0.78658,0.78641,0.78657,60.52
2018.01.08 01:01:00,0.78657,0.78665,0.78655,0.78664,34.6
2018.01.08 01:02:00,0.78664,0.78664,0.78649,0.78657,37.34
2018.01.08 01:03:00,0.78657,0.78671,0.78654,0.78654,72.2
2018.01.08 01:04:00,0.78654,0.78657,0.78645,0.78647,48.76
2018.01.08 01:05:00,0.78648,0.78648,0.78645,0.78647,19.93
2018.01.08 01:06:00,0.78647,0.78659,0.78645,0.78656,42.93
2018.01.08 01:07:00,0.78655,0.78658,0.78654,0.78655,9.36
2018.01.08 01:08:00,0.78656,0.78668,0.78656,0.78668,36.48
2018.01.08 01:09:00,0.78668,0.78674,0.78667,0.78674,63.09
2018.01.08 01:10:00,0.78675,0.78688,0.78674,0.78687,54.81
2018.01.08 01:11:00,0.78687,0.78692,0.78686,0.78686,41.85
2018.01.08 01:12:00,0.78686,0.78698,0.78682,0.78696,39.73
2018.01.08 01:13:00,0.78696,0.787,0.78696,0.78698,33.47
2018.01.08 01:14:00,0.78697,0.78718,0.7869,0.78718,111.63
2018.01.08 01:15:00,0.78717,0.78719,0.78688,0.78696,106.96
2018.01.08 01:16:00,0.78696,0.78696,0.78685,0.78685,37.58
2018.01.08 01:17:00,0.78685,0.78699,0.78685,0.78699,56.98
2018.01.08 01:18:00,0.78699,0.78699,0.7869,0.78696,23.78
2018.01.08 01:19:00,0.78696,0.78696,0.78696,0.78696,2.62
2018.01.08 01:20:00,0.78697,0.78698,0.78695,0.78698,35.57
2018.01.08 01:21:00,0.78698,0.78698,0.78697,0.78698,14.01
2018.01.08 01:22:00,0.78697,0.78698,0.78692,0.78694,35.97
2018.01.08 01:23:00,0.78694,0.78704,0.78694,0.78703,32.65
2018.01.08 01:24:00,0.78704,0.78706,0.78703,0.78706,14.13
2018.01.08 01:25:00,0.78708,0.78708,0.78707,0.78708,10.05
2018.01.08 01:26:00,0.78708,0.78731,0.78708,0.78731,63.88
2018.01.08 01:27:00,0.78729,0.78729,0.78719,0.78726,43.02
2018.01.08 01:28:00,0.78725,0.78725,0.78705,0.78706,43.16
2018.01.08 01:29:00,0.78705,0.78705,0.78667,0.78668,130.25
2018.01.08 01:30:00,0.78668,0.78687,0.78668,0.78686,37.45
2018.01.08 01:31:00,0.78685,0.78687,0.78685,0.78687,16.17
2018.01.08 01:32:00,0.78689,0.78689,0.78662,0.78665,90.03
2018.01.08 01:33:00,0.78661,0.78675,0.7866,0.78675,43.25
2018.01.08 01:34:00,0.78676,0.78682,0.78665,0.7867,75.45
2018.01.08 01:35:00,0.78669,0.78669,0.78653,0.78657,83.27
2018.01.08 01:36:00,0.78656,0.78657,0.78637,0.78637,90.14
2018.01.08 01:37:00,0.78637,0.78646,0.78633,0.78635,78.59
2018.01.08 01:38:00,0.78637,0.78643,0.78627,0.78636,54.75
2018.01.08 01:39:00,0.78637,0.78652,0.78637,0.78647,90.59
2018.01.08 01:40:00,0.78647,0.78651,0.78647,0.78649,39.05
2018.01.08 01:41:00,0.78649,0.78668,0.78649,0.78668,55.61
2018.01.08 01:42:00,0.78663,0.78667,0.7866,0.78667,21.59
2018.01.08 01:43:00,0.78667,0.78667,0.78667,0.78667,12.28
2018.01.08 01:44:00,0.78667,0.78671,0.78665,0.78667,52.49
2018.01.08 01:45:00,0.78667,0.78667,0.7865,0.78656,39.99
2018.01.08 01:46:00,0.78656,0.78661,0.78651,0.78654,40.5
2018.01.08 01:47:00,0.78654,0.78655,0.7865,0.7865,68.16
2018.01.08 01:48:00,0.78648,0.78648,0.78634,0.78635,76.59
2018.01.08 01:49:00,0.78635,0.78635,0.78613,0.78614,81.2
2018.01.08 01:50:00,0.78613,0.78616,0.78599,0.78604,98.52
2018.01.08 01:51:00,0.78606,0.78616,0.78606,0.78615,46.49
2018.01.08 01:52:00,0.78616,0.78616,0.78598,0.78599,82.2
2018.01.08 01:53:00,0.786,0.78613,0.78599,0.78606,92.58
2018.01.08 01:54:00,0.78605,0.7861,0.78598,0.78606,38.01
2018.01.08 01:55:00,0.78606,0.78622,0.78606,0.78618,62.76
2018.01.08 01:56:00,0.78617,0.78617,0.78599,0.78602,54.78
2018.01.08 01:57:00,0.78605,0.78612,0.78603,0.7861,51.94
2018.01.08 01:58:00,0.7861,0.78638,0.7861,0.78638,77.0
2018.01.08 01:59:00,0.78639,0.78644,0.78637,0.78643,49.69
2018.01.08 02:00:00,0.78642,0.78655,0.78641,0.7865,83.12
2018.01.08 02:01:00,0.78651,0.78651,0.78646,0.78648,48.48
2018.01.08 02:02:00,0.78645,0.78653,0.78645,0.78649,31.04
2018.01.08 02:03:00,0.7865,0.78654,0.78637,0.78647,85.66
2018.01.08 02:04:00,0.78647,0.78647,0.78633,0.78636,56.67
2018.01.08 02:05:00,0.78636,0.78638,0.78614,0.78626,105.86
2018.01.08 02:06:00,0.78627,0.78637,0.78627,0.78636,19.02
2018.01.08 02:07:00,0.78636,0.78639,0.78636,0.78636,19.71
2018.01.08 02:08:00,0.78634,0.78638,0.78626,0.78635,43.11
2018.01.08 02:09:00,0.78636,0.78636,0.78614,0.78615,23.52
2018.01.08 02:10:00,0.78605,0.78607,0.78594,0.78607,63.37
2018.01.08 02:11:00,0.78607,0.78607,0.78598,0.78598,35.47
2018.01.08 02:12:00,0.78599,0.78608,0.78599,0.78599,40.02
2018.01.08 02:13:00,0.78599,0.78599,0.78589,0.78593,76.24
2018.01.08 02:14:00,0.78594,0.78597,0.78594,0.78596,29.98
2018.01.08 02:15:00,0.78597,0.78603,0.78597,0.78598,38.31
2018.01.08 02:16:00,0.78599,0.78599,0.78586,0.78589,48.28
2018.01.08 02:17:00,0.78588,0.78588,0.78578,0.78578,37.67
2018.01.08 02:18:00,0.78578,0.78587,0.78578,0.78579,40.07
2018.01.08 02:19:00,0.78581,0.78583,0.78572,0.78577,80.06
2018.01.08 02:20:00,0.78576,0.78578,0.78573,0.78575,40.9
2018.01.08 02:21:00,0.78574,0.78574,0.78569,0.78569,28.71
2018.01.08 02:22:00,0.78568,0.78569,0.78565,0.78566,36.32
2018.01.08 02:23:00,0.78566,0.78573,0.78566,0.78569,47.33
2018.01.08 02:24:00,0.78568,0.78568,0.78554,0.78554,64.23
2018.01.08 02:25:00,0.78555,0.78555,0.7853,0.78536,88.36
2018.01.08 02:26:00,0.78537,0.78561,0.78537,0.78553,69.59
2018.01.08 02:27:00,0.78554,0.78565,0.78554,0.78558,89.41
2018.01.08 02:28:00,0.78557,0.78565,0.78554,0.78554,42.07
2018.01.08 02:29:00,0.78555,0.78555,0.78549,0.78554,31.15
2018.01.08 02:30:00,0.78554,0.78555,0.78533,0.78533,37.11
2018.01.08 02:31:00,0.78534,0.78535,0.78516,0.78517,81.55
2018.01.08 02:32:00,0.78517,0.78517,0.78499,0.78506,115.29
2018.01.08 02:33:00,0.78507,0.78507,0.78481,0.78497,142.11
2018.01.08 02:34:00,0.78496,0.78496,0.78468,0.78474,81.68
2018.01.08 02:35:00,0.78475,0.78485,0.7847,0.78474,81.74
2018.01.08 02:36:00,0.78472,0.78472,0.78444,0.78449,118.74
2018.01.08 02:37:00,0.78448,0.7847,0.78445,0.78458,129.17
2018.01.08 02:38:00,0.78458,0.78465,0.78455,0.78457,71.26
2018.01.08 02:39:00,0.78457,0.78463,0.78453,0.78453,35.21
2018.01.08 02:40:00,0.78454,0.78481,0.78454,0.78469,112.37
2018.01.08 02:41:00,0.78459,0.78466,0.78454,0.78466,67.28
2018.01.08 02:42:00,0.78466,0.78482,0.78466,0.78468,72.37
2018.01.08 02:43:00,0.78468,0.78469,0.78454,0.78455,59.36
2018.01.08 02:44:00,0.78456,0.7848,0.78456,0.78478,52.41
2018.01.08 02:45:00,0.78479,0.78479,0.78469,0.78475,54.16
2018.01.08 02:46:00,0.78475,0.78477,0.78475,0.78475,28.08
2018.01.08 02:47:00,0.78475,0.78476,0.78453,0.78455,67.68
2018.01.08 02:48:00,0.78456,0.78469,0.78456,0.78468,52.54
2018.01.08 02:49:00,0.78466,0.78466,0.78454,0.78466,63.05
2018.01.08 02:50:00,0.78466,0.78467,0.78465,0.78465,26.07
2018.01.08 02:51:00,0.78466,0.78477,0.78466,0.78467,46.86
2018.01.08 02:52:00,0.78467,0.78481,0.78467,0.7848,23.97
2018.01.08 02:53:00,0.7848,0.78493,0.7848,0.7849,87.37
2018.01.08 02:54:00,0.7849,0.78491,0.78486,0.78488,52.63
2018.01.08 02:55:00,0.78488,0.78495,0.78488,0.78495,30.24
2018.01.08 02:56:00,0.78497,0.78499,0.7849,0.7849,83.34
