Time (UTC),Open,High,Low,Close,Volume 
2017.07.31 00:00:00,1.3143,1.31431,1.31411,1.31418,75.54
2017.07.31 00:01:00,1.31418,1.31419,1.31413,1.31413,36.5
2017.07.31 00:02:00,1.31413,1.31413,1.31408,1.31408,26.92
2017.07.31 00:03:00,1.31408,1.31408,1.31403,1.31403,62.35
2017.07.31 00:04:00,1.31403,1.31412,1.31403,1.31404,50.74
2017.07.31 00:05:00,1.31402,1.31413,1.31401,1.31413,71.17
2017.07.31 00:06:00,1.31414,1.31414,1.31398,1.31403,44.62
2017.07.31 00:07:00,1.31403,1.31404,1.31399,1.31399,32.75
2017.07.31 00:08:00,1.31401,1.31404,1.31398,1.31402,51.87
2017.07.31 00:09:00,1.31402,1.31403,1.31398,1.31403,15.12
2017.07.31 00:10:00,1.31403,1.31405,1.31397,1.31404,35.5
2017.07.31 00:11:00,1.31403,1.31405,1.31397,1.31405,47.19
2017.07.31 00:12:00,1.31402,1.31404,1.31397,1.31402,77.1
2017.07.31 00:13:00,1.31403,1.31403,1.31363,1.31365,126.57
2017.07.31 00:14:00,1.31366,1.31373,1.31345,1.31351,152.66
2017.07.31 00:15:00,1.31351,1.31353,1.31346,1.31352,62.01
2017.07.31 00:16:00,1.31352,1.31353,1.3132,1.31324,91
2017.07.31 00:17:00,1.31325,1.3133,1.3132,1.3133,76.93
2017.07.31 00:18:00,1.3133,1.31345,1.31329,1.3133,81.43
2017.07.31 00:19:00,1.3133,1.31345,1.31329,1.31345,62.2
2017.07.31 00:20:00,1.31346,1.31356,1.31346,1.31355,21
2017.07.31 00:21:00,1.31355,1.31355,1.31345,1.31351,70.71
2017.07.31 00:22:00,1.31351,1.31363,1.31348,1.31349,71.87
2017.07.31 00:23:00,1.31348,1.31352,1.31345,1.31345,55.38
2017.07.31 00:24:00,1.31343,1.31343,1.31318,1.31319,111.8
2017.07.31 00:25:00,1.31319,1.31343,1.31319,1.3134,90.49
2017.07.31 00:26:00,1.31339,1.31351,1.31339,1.31348,110.16
2017.07.31 00:27:00,1.31349,1.31375,1.31348,1.31371,63.66
2017.07.31 00:28:00,1.31371,1.31373,1.31369,1.31369,32.88
2017.07.31 00:29:00,1.31368,1.3137,1.31353,1.31365,63.53
2017.07.31 00:30:00,1.31368,1.31371,1.31368,1.31371,23.99
2017.07.31 00:31:00,1.31372,1.31384,1.31372,1.31382,16.12
2017.07.31 00:32:00,1.31381,1.31383,1.3138,1.31381,43.6
2017.07.31 00:33:00,1.3138,1.31384,1.31379,1.31383,52.7
2017.07.31 00:34:00,1.31382,1.31383,1.3138,1.3138,20.87
2017.07.31 00:35:00,1.3138,1.31381,1.31374,1.31379,143.55
2017.07.31 00:36:00,1.3138,1.3138,1.31365,1.3137,82.96
2017.07.31 00:37:00,1.3137,1.31372,1.31369,1.3137,56.47
2017.07.31 00:38:00,1.31372,1.31372,1.3136,1.31361,93.45
2017.07.31 00:39:00,1.31361,1.31362,1.31353,1.3136,68.3
2017.07.31 00:40:00,1.3136,1.31376,1.3136,1.31372,83.33
2017.07.31 00:41:00,1.31371,1.31377,1.3137,1.31375,63.62
2017.07.31 00:42:00,1.31373,1.31385,1.31372,1.31384,33.5
2017.07.31 00:43:00,1.31384,1.31385,1.31384,1.31385,12
2017.07.31 00:44:00,1.31384,1.31384,1.31375,1.31381,36
2017.07.31 00:45:00,1.31381,1.31397,1.31381,1.31396,27.75
2017.07.31 00:46:00,1.31398,1.31398,1.3139,1.31392,56.74
2017.07.31 00:47:00,1.31391,1.31394,1.31371,1.31373,35.99
2017.07.31 00:48:00,1.31367,1.31369,1.31353,1.31356,84.05
2017.07.31 00:49:00,1.31355,1.31358,1.3135,1.31354,70.67
2017.07.31 00:50:00,1.31354,1.31365,1.31353,1.31354,101.71
2017.07.31 00:51:00,1.31353,1.31354,1.31344,1.31347,88.36
2017.07.31 00:52:00,1.31343,1.31345,1.31297,1.31302,111.42
2017.07.31 00:53:00,1.31308,1.31316,1.31292,1.31301,93.9
2017.07.31 00:54:00,1.31301,1.31353,1.31299,1.31343,190.49
2017.07.31 00:55:00,1.3137,1.3137,1.31333,1.31347,165.1
2017.07.31 00:56:00,1.31347,1.31361,1.3134,1.31357,165.17
2017.07.31 00:57:00,1.31357,1.31358,1.31344,1.31351,78.8
2017.07.31 00:58:00,1.31351,1.31368,1.31349,1.31368,63.44
2017.07.31 00:59:00,1.31367,1.31374,1.31361,1.31361,62.12
2017.07.31 01:00:00,1.31362,1.31382,1.31362,1.31378,79.87
2017.07.31 01:01:00,1.31377,1.31379,1.31322,1.31332,114.75
2017.07.31 01:02:00,1.31333,1.31333,1.31325,1.31331,137.18
2017.07.31 01:03:00,1.31331,1.31334,1.31328,1.31331,51.94
2017.07.31 01:04:00,1.3133,1.3133,1.31321,1.31323,31.1
2017.07.31 01:05:00,1.31325,1.31329,1.31313,1.31317,66.55
2017.07.31 01:06:00,1.31313,1.31349,1.31313,1.31339,78.74
2017.07.31 01:07:00,1.31339,1.31361,1.31339,1.3135,78.66
2017.07.31 01:08:00,1.31353,1.31356,1.31351,1.31351,28.5
2017.07.31 01:09:00,1.31351,1.31351,1.31343,1.31347,22
2017.07.31 01:10:00,1.31347,1.31361,1.31346,1.31361,33
2017.07.31 01:11:00,1.31361,1.31379,1.31361,1.31379,59.68
2017.07.31 01:12:00,1.31379,1.31386,1.31376,1.31386,76
2017.07.31 01:13:00,1.31386,1.31386,1.3136,1.3136,39.3
2017.07.31 01:14:00,1.31362,1.31377,1.31362,1.31371,31
2017.07.31 01:15:00,1.31369,1.31369,1.31359,1.31364,25.12
2017.07.31 01:16:00,1.31363,1.31364,1.31357,1.31363,15
2017.07.31 01:17:00,1.31363,1.31363,1.3133,1.31336,34.49
2017.07.31 01:18:00,1.31338,1.31347,1.31338,1.31347,26
2017.07.31 01:19:00,1.31347,1.31352,1.31347,1.31352,18
2017.07.31 01:20:00,1.31352,1.3136,1.31352,1.31356,28
2017.07.31 01:21:00,1.31354,1.31361,1.31352,1.31359,26
2017.07.31 01:22:00,1.31358,1.3136,1.31355,1.31359,14.5
2017.07.31 01:23:00,1.31359,1.31361,1.31354,1.31355,41.49
2017.07.31 01:24:00,1.31355,1.31355,1.31335,1.31339,68.49
2017.07.31 01:25:00,1.31339,1.31339,1.31338,1.31338,55
2017.07.31 01:26:00,1.31338,1.3134,1.31319,1.31326,61.13
2017.07.31 01:27:00,1.31327,1.31329,1.31326,1.31328,35.5
