Time (UTC),Open,High,Low,Close,Volume 
2017.05.08 00:00:00,1.36707,1.36712,1.36705,1.36711,42.83
2017.05.08 00:00:10,1.36711,1.36717,1.36711,1.36717,18.98
2017.05.08 00:00:20,1.36716,1.36717,1.36714,1.36716,9.87
2017.05.08 00:00:30,1.36717,1.36717,1.36716,1.36716,7.49
2017.05.08 00:00:40,1.36717,1.36717,1.36711,1.36711,6.12
2017.05.08 00:00:50,1.36712,1.36712,1.36706,1.36706,3
2017.05.08 00:01:00,1.36707,1.36708,1.36705,1.36705,11
2017.05.08 00:01:10,1.36704,1.36705,1.36704,1.36704,3
2017.05.08 00:01:20,1.36702,1.36702,1.36686,1.36687,7
2017.05.08 00:01:30,1.36688,1.36691,1.36686,1.36686,15
2017.05.08 00:01:40,1.36686,1.36686,1.36678,1.36679,12.25
2017.05.08 00:01:50,1.36679,1.36679,1.36676,1.36679,5
2017.05.08 00:02:00,1.36679,1.36683,1.36679,1.36681,5.25
2017.05.08 00:02:10,1.36681,1.36682,1.36681,1.36682,2
2017.05.08 00:02:20,1.36682,1.36709,1.36682,1.36706,20.34
2017.05.08 00:02:30,1.36707,1.36708,1.36703,1.36704,16.48
2017.05.08 00:02:40,1.36703,1.36706,1.36701,1.36703,11.62
2017.05.08 00:02:50,1.36704,1.36706,1.36703,1.36706,4.12
2017.05.08 00:03:00,1.36708,1.3671,1.36708,1.3671,2.87
2017.05.08 00:03:10,1.3671,1.36712,1.36709,1.36712,10.23
2017.05.08 00:03:20,1.3671,1.3671,1.3671,1.3671,1
2017.05.08 00:03:30,1.36713,1.36713,1.36693,1.36693,23.74
2017.05.08 00:03:40,1.36692,1.36693,1.36692,1.36693,4.49
2017.05.08 00:03:50,1.36688,1.36688,1.36681,1.36682,10.24
2017.05.08 00:04:00,1.3668,1.36681,1.3668,1.36681,3
2017.05.08 00:04:10,1.3668,1.36682,1.3668,1.36681,6.75
2017.05.08 00:04:20,1.36682,1.36684,1.36682,1.36684,18
2017.05.08 00:04:30,1.36683,1.36683,1.36682,1.36682,3.5
2017.05.08 00:04:40,1.36683,1.36683,1.36683,1.36683,3.37
2017.05.08 00:04:50,1.36682,1.36684,1.36682,1.36684,6.75
2017.05.08 00:05:00,1.36683,1.36692,1.36683,1.36685,37.47
2017.05.08 00:05:10,1.36686,1.36694,1.36686,1.36694,14.1
2017.05.08 00:05:20,1.36693,1.36693,1.36693,1.36693,1.5
2017.05.08 00:05:30,1.36691,1.36691,1.36691,1.36691,1
2017.05.08 00:05:40,1.36691,1.36691,1.36691,1.36691,1
2017.05.08 00:05:50,1.36691,1.36691,1.36691,1.36691,0
2017.05.08 00:06:00,1.3669,1.3669,1.3669,1.3669,1
2017.05.08 00:06:10,1.36691,1.36693,1.36691,1.36691,6.5
2017.05.08 00:06:20,1.36691,1.36691,1.36691,1.36691,1
2017.05.08 00:06:30,1.36691,1.36692,1.3669,1.36692,7
2017.05.08 00:06:40,1.36692,1.36692,1.36692,1.36692,1
2017.05.08 00:06:50,1.36691,1.36691,1.3669,1.3669,3
2017.05.08 00:07:00,1.36689,1.36689,1.36683,1.36687,13.1
2017.05.08 00:07:10,1.36687,1.36687,1.36681,1.36681,25.11
2017.05.08 00:07:20,1.36681,1.36684,1.36675,1.36682,16.24
2017.05.08 00:07:30,1.36682,1.36682,1.36682,1.36682,0
