Time (UTC),Open,High,Low,Close,Volume 
2017.07.31 00:00:00,1.31441,1.31444,1.31422,1.31426,84.58
2017.07.31 00:01:00,1.31427,1.31429,1.3142,1.31421,62.3
2017.07.31 00:02:00,1.31419,1.31419,1.31412,1.31418,33.93
2017.07.31 00:03:00,1.31415,1.31418,1.31408,1.31413,101.32
2017.07.31 00:04:00,1.31411,1.31421,1.3141,1.3141,78.08
2017.07.31 00:05:00,1.31411,1.31421,1.3141,1.31421,63.02
2017.07.31 00:06:00,1.31422,1.31422,1.31403,1.31408,49.58
2017.07.31 00:07:00,1.31409,1.3141,1.31406,1.31408,34.38
2017.07.31 00:08:00,1.31408,1.31413,1.31404,1.31409,48.19
2017.07.31 00:09:00,1.3141,1.3141,1.31403,1.31408,17.89
2017.07.31 00:10:00,1.31407,1.31413,1.31401,1.3141,54.1
2017.07.31 00:11:00,1.3141,1.31413,1.31405,1.31413,67.59
2017.07.31 00:12:00,1.3141,1.31413,1.31404,1.31408,82.17
2017.07.31 00:13:00,1.31408,1.3141,1.31369,1.31369,115.82
2017.07.31 00:14:00,1.3137,1.31378,1.31352,1.31355,157.54
2017.07.31 00:15:00,1.31353,1.31359,1.31352,1.31358,76
2017.07.31 00:16:00,1.31359,1.31359,1.31329,1.31334,99.23
2017.07.31 00:17:00,1.31334,1.31339,1.31326,1.31337,72.35
2017.07.31 00:18:00,1.31338,1.31352,1.31334,1.31337,81.72
2017.07.31 00:19:00,1.31335,1.31351,1.31335,1.3135,75.16
2017.07.31 00:20:00,1.3135,1.31363,1.3135,1.31361,32.3
2017.07.31 00:21:00,1.3136,1.3136,1.31352,1.31359,50.5
2017.07.31 00:22:00,1.31359,1.31372,1.31357,1.31358,99.31
2017.07.31 00:23:00,1.31358,1.3136,1.31351,1.31351,64.48
2017.07.31 00:24:00,1.31351,1.31351,1.31328,1.31329,109.06
2017.07.31 00:25:00,1.31327,1.31351,1.31327,1.31349,68.35
2017.07.31 00:26:00,1.31349,1.31358,1.31347,1.31357,121.6
2017.07.31 00:27:00,1.31358,1.31381,1.31357,1.3138,67.45
2017.07.31 00:28:00,1.31379,1.31382,1.31378,1.31379,48.36
2017.07.31 00:29:00,1.31377,1.31379,1.31362,1.31372,76.32
2017.07.31 00:30:00,1.31373,1.31378,1.31373,1.31378,20.69
