Time (UTC),Open,High,Low,Close,Volume 
2017.05.01 00:00:00,1.36424,1.3643,1.36422,1.36428,22.5
2017.05.01 00:00:10,1.36428,1.3643,1.36426,1.36428,13
2017.05.01 00:00:20,1.36427,1.3643,1.36427,1.36429,24.82
2017.05.01 00:00:30,1.36427,1.36428,1.36423,1.36423,18.89
2017.05.01 00:00:40,1.36424,1.36424,1.36421,1.36423,19.26
2017.05.01 00:00:50,1.36423,1.36424,1.36416,1.36417,27.84
2017.05.01 00:01:00,1.36416,1.36417,1.36411,1.36412,18.87
2017.05.01 00:01:10,1.36411,1.36413,1.36411,1.36413,11.41
2017.05.01 00:01:20,1.36413,1.36413,1.36412,1.36412,25.24
2017.05.01 00:01:30,1.36412,1.36413,1.36411,1.36413,6.66
2017.05.01 00:01:40,1.36412,1.36413,1.36411,1.36411,4.18
2017.05.01 00:01:50,1.36412,1.36412,1.36404,1.36406,13.12
2017.05.01 00:02:00,1.36406,1.36406,1.36403,1.36404,19.31
2017.05.01 00:02:10,1.36404,1.36409,1.36404,1.36408,20.28
2017.05.01 00:02:20,1.36407,1.36411,1.36407,1.36411,8.25
2017.05.01 00:02:30,1.36409,1.36412,1.36409,1.36411,6.5
2017.05.01 00:02:40,1.36411,1.36412,1.3641,1.36412,6.5
2017.05.01 00:02:50,1.36412,1.36413,1.36412,1.36413,3.5
2017.05.01 00:03:00,1.36412,1.36413,1.36412,1.36413,4.5
2017.05.01 00:03:10,1.36414,1.36419,1.36414,1.36418,16.11
2017.05.01 00:03:20,1.36418,1.36421,1.36416,1.36418,9.5
2017.05.01 00:03:30,1.36417,1.36419,1.36417,1.36418,5.5
2017.05.01 00:03:40,1.36419,1.36419,1.36419,1.36419,3
2017.05.01 00:03:50,1.36419,1.36419,1.36418,1.36418,3.25
2017.05.01 00:04:00,1.36419,1.36419,1.36414,1.36418,10.37
2017.05.01 00:04:10,1.36416,1.3642,1.36416,1.3642,12.5
2017.05.01 00:04:20,1.36419,1.36421,1.36419,1.36421,4.5
2017.05.01 00:04:30,1.36422,1.36422,1.36418,1.36419,13
2017.05.01 00:04:40,1.3642,1.3642,1.36419,1.3642,14.25
2017.05.01 00:04:50,1.3642,1.36421,1.36419,1.36421,11.37
2017.05.01 00:05:00,1.36421,1.36421,1.36421,1.36421,0
2017.05.01 00:05:10,1.3642,1.3642,1.36416,1.36416,4.5
2017.05.01 00:05:20,1.36416,1.36416,1.36415,1.36416,13.65
2017.05.01 00:05:30,1.36415,1.36416,1.36415,1.36416,3
2017.05.01 00:05:40,1.36413,1.36413,1.36412,1.36413,3.5
2017.05.01 00:05:50,1.36411,1.36412,1.36404,1.36405,13.37
2017.05.01 00:06:00,1.36404,1.36406,1.36404,1.36405,3.87
2017.05.01 00:06:10,1.36406,1.36406,1.36401,1.36404,15.87
2017.05.01 00:06:20,1.36403,1.36404,1.36402,1.36404,6.5
2017.05.01 00:06:30,1.36405,1.36405,1.36403,1.36403,8.5
2017.05.01 00:06:40,1.36403,1.36404,1.36403,1.36404,11.25
2017.05.01 00:06:50,1.36403,1.36404,1.36403,1.36403,14.27
2017.05.01 00:07:00,1.36404,1.36404,1.36403,1.36404,16.71
2017.05.01 00:07:10,1.36403,1.36404,1.36402,1.36403,18.57
2017.05.01 00:07:20,1.36402,1.36403,1.36402,1.36403,15
2017.05.01 00:07:30,1.36402,1.36403,1.36402,1.36402,19.5
2017.05.01 00:07:40,1.36402,1.36408,1.36402,1.36407,17.49
2017.05.01 00:07:50,1.36408,1.36408,1.36407,1.36407,2.5
2017.05.01 00:08:00,1.36408,1.36409,1.36405,1.36405,19.21
2017.05.01 00:08:10,1.36406,1.36408,1.36405,1.36406,14.99
2017.05.01 00:08:20,1.36406,1.36409,1.36406,1.36407,43.5
2017.05.01 00:08:30,1.36408,1.36408,1.36406,1.36407,5.25
2017.05.01 00:08:40,1.36408,1.36408,1.36407,1.36408,5
2017.05.01 00:08:50,1.36409,1.36411,1.36409,1.3641,5.87
2017.05.01 00:09:00,1.36408,1.36414,1.36408,1.36412,12.29
2017.05.01 00:09:10,1.36411,1.36414,1.36411,1.36413,19.28
2017.05.01 00:09:20,1.36422,1.36422,1.36413,1.36413,28.75
2017.05.01 00:09:30,1.36413,1.36413,1.36409,1.36412,19.48
2017.05.01 00:09:40,1.36411,1.36412,1.36402,1.36408,24.31
2017.05.01 00:09:50,1.3641,1.36414,1.3641,1.36413,12.37
2017.05.01 00:10:00,1.36414,1.36416,1.36413,1.36416,26.73
2017.05.01 00:10:10,1.36416,1.36416,1.36413,1.36413,11.23
2017.05.01 00:10:20,1.36413,1.36416,1.36405,1.36405,17.31
2017.05.01 00:10:30,1.36405,1.36415,1.36405,1.36415,16.69
2017.05.01 00:10:40,1.36415,1.36417,1.36414,1.36417,21.23
