Broker Symbol,Symbol,Tick Decimals,Tick Value,Target Spread,Margin Req
AUD/CAD,AUDCAD,5,1,5,0
AUD/CHF,AUDCHF,5,1,5,0
AUD/JPY,AUDJPY,3,1,5,0
AUD/NZD,AUDNZD,5,1,5,0
AUD/USD,AUDUSD,5,1,5,0
CAD/CHF,CADCHF,5,1,5,0
CAD/JPY,CADJPY,3,1,5,0
CHF/JPY,CHFJPY,3,1,5,0
EUR/AUD,EURAUD,5,1,5,0
EUR/CAD,EURCAD,5,1,5,0
EUR/CHF,EURCHF,5,1,5,0
EUR/GBP,EURGBP,5,1,5,0
EUR/JPY,EURJPY,3,1,5,0
EUR/NOK,EURNOK,5,1,5,0
EUR/NZD,EURNZD,5,1,5,0
EUR/SEK,EURSEK,5,1,5,0
EUR/TRY,EURTRY,5,1,5,0
EUR/USD,EURUSD,5,1,5,0
GBP/AUD,GBPAUD,5,1,5,0
GBP/CAD,GBPCAD,5,1,5,0
GBP/CHF,GBPCHF,5,1,5,0
GBP/JPY,GBPJPY,5,1,5,0
GBP/NZD,GBPNZD,5,1,5,0
GBP/USD,GBPUSD,5,1,5,0
NZD/CAD,NZDCAD,5,1,5,0
NZD/CHF,NZDCHF,5,1,5,0
NZD/JPY,NZDJPY,3,1,5,0
NZD/USD,NZDUSD,5,1,5,0
TRY/JPY,TRYJPY,3,1,5,0
USD/CAD,USDCAD,5,1,5,0
USD/CHF,USDCHF,5,1,5,0
USD/CNH,USDCNH,5,1,5,0
USD/HKD,USDHKD,5,1,5,0
USD/JPY,USDJPY,4,1,5,0
USD/MXN,USDMXN,5,1,5,0
USD/NOK,USDNOK,5,1,5,0
USD/SEK,USDSEK,5,1,5,0
USD/TRY,USDTRY,5,1,5,0
USD/ZAR,USDZAR,5,1,5,0
XAG/USD,XAGUSD,3,5,4.5,110
XAU/USD,XAUUSD,2,0.1,40,70
ZAR/JPY,ZARJPY,3,1,5,0
